Varenavn,Årsforbrug,Pris,Ordreomkostning,Rentesats,Kategori,Leverandør,Lagerlokation,Varenummer,Enhed,Minimumslagerbeholdning,Leveringstid (dage),Status
Vare-0211,1017,12171,191,4.8,Tilbehør,OfficeSupply A/S,IT-Lager Zone 95,SKU-0211,Æske,153,4,Fase Ud
Vare-0212,4087,11199,91,5.9,Warehouse,Lenovo Denmark,Warehouse-8,SKU-0212,Æske,613,6,Aktiv
Vare-0213,4715,10620,237,4,Warehouse,ASUS Denmark,Hylde A2-68,SKU-0213,Æske,707,8,Aktiv
Vare-0214,910,14078,263,4.9,Tilbehør,Lenovo Denmark,Hylde B2-56,SKU-0214,Rulle,136,2,Aktiv
Vare-0215,1496,11928,141,5.4,Warehouse,ASUS Denmark,Hylde A2-96,SKU-0215,Sæt,224,5,Aktiv
Vare-0216,2741,6038,110,3.6,Electronics,Apple Denmark,Hylde A2-95,SKU-0216,Sæt,411,7,Fase Ud
Vare-0217,2699,13214,361,4.7,Ergonomi,Lenovo Denmark,Hylde A2-65,SKU-0217,Pakke,405,12,Aktiv
Vare-0218,293,9826,157,4.4,Møbel,CableWorld ApS,Tilbehør Zone 65,SKU-0218,Rulle,44,5,Aktiv
Vare-0219,4177,7713,152,5.9,Ergonomi,ASUS Denmark,Hylde B2-19,SKU-0219,Sæt,627,13,Fase Ud
Vare-0220,3636,10142,475,5.2,Kabler,Samsung Electronics,Tilbehør Zone 20,SKU-0220,Sæt,545,11,Aktiv
Vare-0221,255,7312,346,5.4,Tilbehør,Dell Danmark A/S,Hylde B1-29,SKU-0221,Kasse,38,6,Aktiv
Vare-0222,394,1751,123,5,Kontorartikler,ErgoShop ApS,Hylde B2-13,SKU-0222,Kasse,59,9,Aktiv
Vare-0223,3776,11554,272,6,Kabler,OfficeSupply A/S,Hylde A2-90,SKU-0223,Pakke,566,13,Aktiv
Vare-0224,828,3280,186,5.8,Møbel,Samsung Electronics,Hylde B2-32,SKU-0224,Pakke,124,11,Aktiv
Vare-0225,2293,11156,209,5.9,Electronics,Apple Denmark,Warehouse-19,SKU-0225,Stk,344,5,Aktiv
Vare-0226,1793,321,410,3.6,Tilbehør,OfficeSupply A/S,IT-Lager Zone 78,SKU-0226,Pakke,269,8,Aktiv
Vare-0227,2751,11489,425,5.3,IT Hardware,HP Inc Danmark,Warehouse-74,SKU-0227,Kasse,413,6,Fase Ud
Vare-0228,641,12697,390,3.7,Tilbehør,Lenovo Denmark,Hylde A2-22,SKU-0228,Stk,96,10,Aktiv
Vare-0229,2294,12239,118,4.4,Tilbehør,Dell Danmark A/S,Hylde B2-95,SKU-0229,Æske,344,11,Fase Ud
Vare-0230,316,2823,129,4.3,IT Hardware,ASUS Denmark,Hylde A2-39,SKU-0230,Sæt,47,10,Aktiv
Vare-0231,3839,2972,385,5.9,Ergonomi,Lenovo Denmark,IT-Lager Zone 91,SKU-0231,Kasse,576,7,Aktiv
Vare-0232,1372,9306,141,5,Electronics,Samsung Electronics,Hylde B2-61,SKU-0232,Kasse,206,5,Aktiv
Vare-0233,3597,7997,270,4.3,Ergonomi,ASUS Denmark,Hylde B2-56,SKU-0233,Kasse,540,5,Aktiv
Vare-0234,253,12241,97,4,Ergonomi,Apple Denmark,Lager Zone 6,SKU-0234,Stk,38,4,Aktiv
Vare-0235,4416,6225,359,5,Warehouse,Samsung Electronics,Hylde B1-64,SKU-0235,Pakke,662,4,Fase Ud
Vare-0236,4131,4974,168,5.9,Ergonomi,Samsung Electronics,Warehouse-59,SKU-0236,Kasse,620,13,Aktiv
Vare-0237,2891,6465,487,4.3,Ergonomi,HP Inc Danmark,Tilbehør Zone 14,SKU-0237,Rulle,434,1,Fase Ud
Vare-0238,3217,8781,149,3.7,Electronics,Logitech Nordic,Warehouse-22,SKU-0238,Pakke,483,7,Aktiv
Vare-0239,4296,13155,207,4.2,IT Hardware,ASUS Denmark,Hylde A1-62,SKU-0239,Pakke,644,10,Aktiv
Vare-0240,4090,10677,412,4.8,Tools,Samsung Electronics,Tilbehør Zone 21,SKU-0240,Stk,614,8,Aktiv
Vare-0241,1192,9409,402,5.1,Tools,OfficeSupply A/S,Hylde B2-71,SKU-0241,Sæt,179,2,Aktiv
Vare-0242,692,4882,229,4.6,Belysning,OfficeSupply A/S,Warehouse-95,SKU-0242,Æske,104,2,Aktiv
Vare-0243,4673,6166,332,5.5,Møbel,OfficeSupply A/S,Warehouse-8,SKU-0243,Rulle,701,13,Fase Ud
Vare-0244,2319,6358,389,5.9,Tilbehør,OfficeSupply A/S,Hylde B1-83,SKU-0244,Stk,348,5,Aktiv
Vare-0245,800,11720,387,3.8,Møbel,HP Inc Danmark,Hylde B1-14,SKU-0245,Æske,120,2,Aktiv
Vare-0246,433,12633,128,3.9,Warehouse,HP Inc Danmark,Tilbehør Zone 32,SKU-0246,Stk,65,6,Aktiv
Vare-0247,529,13511,282,5,Møbel,CableWorld ApS,Hylde A2-62,SKU-0247,Rulle,79,7,Fase Ud
Vare-0248,3297,6220,157,4.2,Tilbehør,Dell Danmark A/S,Warehouse-49,SKU-0248,Pakke,495,9,Aktiv
Vare-0249,2040,2638,434,5.6,Tilbehør,Apple Denmark,Hylde B2-44,SKU-0249,Pakke,306,13,Aktiv
Vare-0250,1137,4856,491,4.1,Tilbehør,ErgoShop ApS,Tilbehør Zone 74,SKU-0250,Æske,171,8,Aktiv
Vare-0251,2564,363,126,3.6,Kontorartikler,ErgoShop ApS,Hylde B1-30,SKU-0251,Æske,385,11,Aktiv
Vare-0252,990,13396,436,5.8,Ergonomi,CableWorld ApS,Lager Zone 36,SKU-0252,Stk,148,3,Fase Ud
Vare-0253,2042,11131,458,6,Møbel,ErgoShop ApS,Hylde A1-81,SKU-0253,Rulle,306,9,Aktiv
Vare-0254,687,3472,423,5.1,Tools,Apple Denmark,Hylde B2-4,SKU-0254,Stk,103,3,Aktiv
Vare-0255,4179,1498,255,4.6,Warehouse,HP Inc Danmark,Hylde A2-6,SKU-0255,Kasse,627,5,Aktiv
Vare-0256,1662,12548,403,4.5,Tools,ASUS Denmark,IT-Lager Zone 75,SKU-0256,Pakke,249,11,Aktiv
Vare-0257,1927,8560,239,3.6,Electronics,OfficeSupply A/S,Lager Zone 78,SKU-0257,Stk,289,12,Aktiv
Vare-0258,1117,12566,275,3.5,Warehouse,ASUS Denmark,Hylde A2-37,SKU-0258,Stk,168,6,Aktiv
Vare-0259,4039,9458,315,4.7,Belysning,ErgoShop ApS,Hylde B2-80,SKU-0259,Sæt,606,9,Aktiv
Vare-0260,2353,10188,348,3.8,Kabler,ErgoShop ApS,Hylde A2-24,SKU-0260,Stk,353,6,Fase Ud
Vare-0261,4952,5355,233,3.8,Møbel,Apple Denmark,Tilbehør Zone 70,SKU-0261,Rulle,743,12,Aktiv
Vare-0262,2527,14139,273,4.3,Belysning,Samsung Electronics,Hylde B2-52,SKU-0262,Rulle,379,7,Aktiv
Vare-0263,3060,7483,336,4.1,Electronics,ErgoShop ApS,Hylde B2-60,SKU-0263,Kasse,459,4,Aktiv
Vare-0264,3333,4234,244,3.7,Tools,Samsung Electronics,Hylde B2-23,SKU-0264,Pakke,500,4,Aktiv
Vare-0265,2818,287,350,3.7,Belysning,Dell Danmark A/S,Warehouse-30,SKU-0265,Pakke,423,13,Fase Ud
Vare-0266,1728,9890,394,3.7,Kabler,ASUS Denmark,Hylde A2-77,SKU-0266,Rulle,259,1,Aktiv
Vare-0267,2067,12269,344,5.3,Møbel,OfficeSupply A/S,Hylde B1-51,SKU-0267,Sæt,310,2,Aktiv
Vare-0268,2624,12547,436,3.7,Electronics,Samsung Electronics,Tilbehør Zone 45,SKU-0268,Kasse,394,3,Fase Ud
Vare-0269,2861,11414,283,4.1,Belysning,Apple Denmark,Lager Zone 12,SKU-0269,Sæt,429,10,Aktiv
Vare-0270,4059,12498,231,6.1,Ergonomi,OfficeSupply A/S,Hylde A1-42,SKU-0270,Rulle,609,1,Aktiv
Vare-0271,1983,8245,238,5.6,Kabler,Apple Denmark,IT-Lager Zone 85,SKU-0271,Kasse,297,8,Aktiv
Vare-0272,493,6124,163,4.9,Ergonomi,CableWorld ApS,Lager Zone 36,SKU-0272,Pakke,74,7,Aktiv
Vare-0273,735,13455,179,3.7,Møbel,ASUS Denmark,IT-Lager Zone 7,SKU-0273,Rulle,110,7,Aktiv
Vare-0274,4418,3745,281,3.6,Møbel,HP Inc Danmark,Tilbehør Zone 25,SKU-0274,Stk,663,6,Aktiv
Vare-0275,4073,10886,229,5.6,Tools,Dell Danmark A/S,Hylde B2-25,SKU-0275,Pakke,611,6,Aktiv
Vare-0276,496,8180,322,4.5,Belysning,CableWorld ApS,Tilbehør Zone 22,SKU-0276,Stk,74,8,Aktiv
Vare-0277,1620,9280,109,6.1,IT Hardware,Apple Denmark,Hylde A2-49,SKU-0277,Sæt,243,2,Aktiv
Vare-0278,157,9894,469,4.3,Tilbehør,HP Inc Danmark,Warehouse-81,SKU-0278,Pakke,24,4,Aktiv
Vare-0279,377,3093,126,3.9,Ergonomi,HP Inc Danmark,Warehouse-53,SKU-0279,Kasse,57,13,Aktiv
Vare-0280,646,1208,134,4.1,Tools,Samsung Electronics,Lager Zone 30,SKU-0280,Stk,97,4,Aktiv
Vare-0281,968,12275,174,3.9,Belysning,Dell Danmark A/S,Hylde A2-60,SKU-0281,Stk,145,2,Aktiv
Vare-0282,560,12116,355,5.6,IT Hardware,Logitech Nordic,Hylde B1-66,SKU-0282,Æske,84,2,Aktiv
Vare-0283,3012,10026,409,4.9,Warehouse,Dell Danmark A/S,Hylde B1-79,SKU-0283,Kasse,452,11,Aktiv
Vare-0284,4712,14847,293,3.8,IT Hardware,HP Inc Danmark,Hylde A1-5,SKU-0284,Kasse,707,12,Fase Ud
Vare-0285,1069,5062,283,4.2,Warehouse,Apple Denmark,Hylde A2-43,SKU-0285,Rulle,160,8,Aktiv
Vare-0286,1747,6546,283,4.7,Ergonomi,OfficeSupply A/S,Hylde A2-84,SKU-0286,Rulle,262,3,Aktiv
Vare-0287,3111,2317,343,5.8,Tools,CableWorld ApS,Hylde A2-35,SKU-0287,Pakke,467,4,Fase Ud
Vare-0288,1890,13366,266,4.7,Tilbehør,CableWorld ApS,Lager Zone 96,SKU-0288,Pakke,284,6,Aktiv
Vare-0289,4242,8537,383,6,IT Hardware,CableWorld ApS,Tilbehør Zone 50,SKU-0289,Sæt,636,6,Aktiv
Vare-0290,4799,13292,371,5.3,Kabler,Logitech Nordic,Warehouse-28,SKU-0290,Pakke,720,5,Aktiv
Vare-0291,893,6118,181,3.7,Tilbehør,Lenovo Denmark,Hylde A2-8,SKU-0291,Stk,134,4,Aktiv
Vare-0292,2427,5514,209,3.9,Ergonomi,CableWorld ApS,Hylde A1-39,SKU-0292,Æske,364,11,Aktiv
Vare-0293,1744,789,90,6.1,Electronics,Logitech Nordic,Tilbehør Zone 4,SKU-0293,Stk,262,12,Aktiv
Vare-0294,1663,6387,464,5.9,Ergonomi,Logitech Nordic,IT-Lager Zone 86,SKU-0294,Sæt,249,10,Aktiv
Vare-0295,650,10662,316,4.1,Ergonomi,Logitech Nordic,Hylde B2-42,SKU-0295,Sæt,98,1,Fase Ud
Vare-0296,1673,8117,168,5,Kabler,Dell Danmark A/S,IT-Lager Zone 89,SKU-0296,Rulle,251,3,Fase Ud
Vare-0297,1708,4796,283,4.3,Ergonomi,Dell Danmark A/S,Hylde A2-74,SKU-0297,Kasse,256,10,Aktiv
Vare-0298,308,7302,175,4.5,Kontorartikler,Logitech Nordic,Hylde B1-35,SKU-0298,Sæt,46,9,Aktiv
Vare-0299,1244,5504,319,3.5,Ergonomi,CableWorld ApS,Tilbehør Zone 47,SKU-0299,Sæt,187,11,Aktiv
Vare-0300,1961,3790,472,3.7,Kabler,Samsung Electronics,Tilbehør Zone 29,SKU-0300,Kasse,294,11,Aktiv
Vare-0301,1257,247,237,4.7,IT Hardware,Dell Danmark A/S,Hylde B2-68,SKU-0301,Kasse,189,13,Fase Ud
Vare-0302,962,7413,224,5.9,Kontorartikler,ASUS Denmark,Hylde A1-55,SKU-0302,Æske,144,4,Aktiv
Vare-0303,2218,5736,109,5.5,Belysning,HP Inc Danmark,Hylde B1-37,SKU-0303,Sæt,333,7,Fase Ud
Vare-0304,4294,8952,364,4,Møbel,HP Inc Danmark,IT-Lager Zone 94,SKU-0304,Rulle,644,1,Fase Ud
Vare-0305,797,7443,202,3.6,IT Hardware,Apple Denmark,Hylde B2-59,SKU-0305,Kasse,120,11,Aktiv
Vare-0306,2022,12085,228,5,Kabler,ASUS Denmark,Hylde B1-60,SKU-0306,Pakke,303,5,Aktiv
Vare-0307,1876,14343,259,3.8,Kabler,Samsung Electronics,Hylde B1-25,SKU-0307,Sæt,281,11,Aktiv
Vare-0308,3651,12504,206,3.5,Kontorartikler,OfficeSupply A/S,Lager Zone 65,SKU-0308,Kasse,548,5,Aktiv
Vare-0309,2435,11448,274,4.8,Belysning,ASUS Denmark,Hylde B2-43,SKU-0309,Sæt,365,10,Fase Ud
Vare-0310,4382,13290,157,4.2,Warehouse,ErgoShop ApS,Tilbehør Zone 49,SKU-0310,Kasse,657,1,Aktiv
Vare-0311,886,3880,431,5.1,Kabler,ASUS Denmark,Hylde B1-47,SKU-0311,Rulle,133,10,Aktiv
Vare-0312,4716,5971,92,4.1,Kontorartikler,OfficeSupply A/S,Hylde B2-78,SKU-0312,Stk,707,1,Aktiv
Vare-0313,4549,4180,166,4.4,Møbel,Lenovo Denmark,IT-Lager Zone 55,SKU-0313,Kasse,682,11,Fase Ud
Vare-0314,4316,13592,321,4.5,Kabler,OfficeSupply A/S,IT-Lager Zone 65,SKU-0314,Rulle,647,2,Aktiv
Vare-0315,2137,558,465,4.2,Electronics,ASUS Denmark,Warehouse-18,SKU-0315,Æske,321,6,Aktiv
Vare-0316,3226,6484,125,4.4,Warehouse,HP Inc Danmark,Tilbehør Zone 42,SKU-0316,Kasse,484,1,Fase Ud
Vare-0317,240,415,284,5.3,Møbel,HP Inc Danmark,Hylde A1-62,SKU-0317,Pakke,36,1,Aktiv
Vare-0318,4435,1017,428,5.8,Electronics,Samsung Electronics,Hylde A2-92,SKU-0318,Stk,665,13,Aktiv
Vare-0319,2643,11712,491,5,IT Hardware,ErgoShop ApS,Tilbehør Zone 43,SKU-0319,Pakke,396,3,Aktiv
Vare-0320,4069,4703,465,3.8,Kontorartikler,HP Inc Danmark,Lager Zone 82,SKU-0320,Æske,610,1,Fase Ud
Vare-0321,2423,14396,412,5.6,IT Hardware,HP Inc Danmark,Hylde B2-58,SKU-0321,Stk,363,7,Aktiv
Vare-0322,1111,4367,158,4.2,Ergonomi,HP Inc Danmark,Hylde B1-55,SKU-0322,Pakke,167,11,Aktiv
Vare-0323,3829,4500,293,4,Warehouse,Samsung Electronics,Hylde B2-58,SKU-0323,Sæt,574,12,Fase Ud
Vare-0324,1306,387,280,5.1,Tools,HP Inc Danmark,Tilbehør Zone 46,SKU-0324,Sæt,196,9,Aktiv
Vare-0325,3622,13709,85,5,Møbel,ASUS Denmark,Hylde A2-95,SKU-0325,Sæt,543,7,Aktiv
Vare-0326,919,11877,83,4.6,Møbel,ASUS Denmark,Hylde A2-14,SKU-0326,Sæt,138,7,Aktiv
Vare-0327,1421,1953,109,5.2,Kabler,Logitech Nordic,Tilbehør Zone 98,SKU-0327,Æske,213,3,Fase Ud
Vare-0328,4921,5422,80,5.2,Møbel,HP Inc Danmark,Hylde B2-66,SKU-0328,Stk,738,5,Fase Ud
Vare-0329,3558,7740,421,5.6,Tilbehør,Apple Denmark,Hylde B2-33,SKU-0329,Æske,534,8,Aktiv
Vare-0330,1444,12349,416,3.9,Ergonomi,ErgoShop ApS,IT-Lager Zone 86,SKU-0330,Sæt,217,5,Fase Ud
Vare-0331,4667,13226,477,6.1,Kabler,ASUS Denmark,Warehouse-20,SKU-0331,Stk,700,9,Fase Ud
Vare-0332,247,7701,94,5.5,Tilbehør,Lenovo Denmark,Hylde B1-51,SKU-0332,Stk,37,10,Aktiv
Vare-0333,2296,7425,340,3.5,Electronics,HP Inc Danmark,Hylde B1-85,SKU-0333,Stk,344,7,Aktiv
Vare-0334,2743,14041,221,6,Electronics,CableWorld ApS,Lager Zone 54,SKU-0334,Rulle,411,5,Aktiv
Vare-0335,1061,7696,84,5.2,Møbel,ASUS Denmark,Hylde B1-11,SKU-0335,Rulle,159,13,Aktiv
Vare-0336,827,6877,177,6.1,Møbel,Logitech Nordic,IT-Lager Zone 60,SKU-0336,Kasse,124,13,Fase Ud
Vare-0337,1948,4547,267,4.1,Warehouse,CableWorld ApS,Hylde A2-96,SKU-0337,Stk,292,4,Aktiv
Vare-0338,3901,1472,247,3.8,Kontorartikler,Samsung Electronics,Hylde B2-36,SKU-0338,Æske,585,11,Fase Ud
Vare-0339,4184,9070,347,5.4,Kontorartikler,Logitech Nordic,Hylde A1-65,SKU-0339,Stk,628,8,Aktiv
Vare-0340,4623,12311,354,3.6,Tilbehør,Samsung Electronics,Tilbehør Zone 83,SKU-0340,Kasse,693,2,Fase Ud
Vare-0341,2247,2570,341,5.3,Møbel,Logitech Nordic,Hylde B2-83,SKU-0341,Kasse,337,6,Aktiv
Vare-0342,2716,12718,382,6.1,Belysning,Apple Denmark,Hylde A2-74,SKU-0342,Rulle,407,1,Aktiv
Vare-0343,2383,10836,299,5.5,Tools,OfficeSupply A/S,IT-Lager Zone 84,SKU-0343,Rulle,357,2,Aktiv
Vare-0344,1846,1205,446,6.1,IT Hardware,ASUS Denmark,Hylde A2-51,SKU-0344,Rulle,277,1,Aktiv
Vare-0345,4368,6413,212,3.6,Belysning,Dell Danmark A/S,Tilbehør Zone 25,SKU-0345,Pakke,655,1,Aktiv
Vare-0346,4918,11927,240,4.7,Møbel,Dell Danmark A/S,Warehouse-79,SKU-0346,Sæt,738,9,Aktiv
Vare-0347,2442,12597,251,6,Kabler,Dell Danmark A/S,Tilbehør Zone 63,SKU-0347,Stk,366,4,Aktiv
Vare-0348,2878,3663,168,5.9,IT Hardware,HP Inc Danmark,Warehouse-58,SKU-0348,Æske,432,13,Fase Ud
Vare-0349,2452,11680,360,5,Warehouse,Samsung Electronics,Hylde B1-33,SKU-0349,Sæt,368,5,Fase Ud
Vare-0350,4815,13621,314,5.2,Tilbehør,Logitech Nordic,Warehouse-57,SKU-0350,Rulle,722,3,Fase Ud
Vare-0351,1435,602,240,3.8,Tools,OfficeSupply A/S,Tilbehør Zone 52,SKU-0351,Rulle,215,4,Fase Ud
Vare-0352,2999,13941,139,5.4,Electronics,OfficeSupply A/S,Hylde B1-71,SKU-0352,Rulle,450,3,Aktiv
Vare-0353,335,11880,180,3.6,Kabler,OfficeSupply A/S,Hylde A1-6,SKU-0353,Stk,50,10,Aktiv
Vare-0354,4262,1539,416,3.5,Kontorartikler,ASUS Denmark,Hylde A2-55,SKU-0354,Stk,639,1,Aktiv
Vare-0355,982,7830,467,3.9,Kabler,Dell Danmark A/S,IT-Lager Zone 39,SKU-0355,Sæt,147,12,Fase Ud
Vare-0356,1304,8718,438,5.5,Belysning,Dell Danmark A/S,Hylde B1-58,SKU-0356,Æske,196,3,Aktiv
Vare-0357,3071,748,105,4.3,Kontorartikler,ErgoShop ApS,Warehouse-52,SKU-0357,Kasse,461,4,Aktiv
Vare-0358,2801,7590,238,4.9,IT Hardware,OfficeSupply A/S,Hylde B1-43,SKU-0358,Stk,420,4,Aktiv
Vare-0359,3212,10461,281,5.2,Warehouse,ASUS Denmark,IT-Lager Zone 44,SKU-0359,Sæt,482,9,Fase Ud
Vare-0360,1151,5315,113,3.9,Warehouse,ASUS Denmark,Warehouse-1,SKU-0360,Kasse,173,10,Aktiv
Vare-0361,4782,4655,409,4.1,Belysning,Lenovo Denmark,IT-Lager Zone 31,SKU-0361,Sæt,717,6,Aktiv
Vare-0362,3049,5806,115,4.8,Belysning,Dell Danmark A/S,IT-Lager Zone 2,SKU-0362,Æske,457,3,Aktiv
Vare-0363,1917,14206,435,3.6,Ergonomi,Lenovo Denmark,Warehouse-95,SKU-0363,Sæt,288,5,Aktiv
Vare-0364,3527,6588,172,4,Kontorartikler,ErgoShop ApS,Warehouse-93,SKU-0364,Æske,529,5,Aktiv
Vare-0365,4139,3362,399,3.9,Møbel,Apple Denmark,Hylde B2-95,SKU-0365,Kasse,621,2,Fase Ud
Vare-0366,4369,9086,202,4.7,Tilbehør,OfficeSupply A/S,Tilbehør Zone 67,SKU-0366,Pakke,655,3,Aktiv
Vare-0367,1188,3302,337,3.9,Kabler,ErgoShop ApS,IT-Lager Zone 43,SKU-0367,Æske,178,4,Aktiv
Vare-0368,4604,8776,86,3.5,Møbel,ASUS Denmark,Lager Zone 2,SKU-0368,Kasse,691,13,Aktiv
Vare-0369,1309,14803,453,3.6,Kabler,Samsung Electronics,Lager Zone 33,SKU-0369,Sæt,196,11,Aktiv
Vare-0370,1353,3205,111,4.6,Kabler,ErgoShop ApS,Hylde B2-48,SKU-0370,Sæt,203,4,Aktiv
Vare-0371,4711,7028,451,3.6,Møbel,Apple Denmark,Lager Zone 13,SKU-0371,Kasse,707,1,Fase Ud
Vare-0372,3042,13910,292,4.8,Belysning,ASUS Denmark,Hylde A1-46,SKU-0372,Æske,456,2,Aktiv
Vare-0373,3920,1409,389,4.5,Ergonomi,Samsung Electronics,IT-Lager Zone 76,SKU-0373,Pakke,588,5,Fase Ud
Vare-0374,3189,13315,493,3.7,Møbel,Apple Denmark,IT-Lager Zone 34,SKU-0374,Kasse,478,12,Aktiv
Vare-0375,4562,7432,264,5.1,Tilbehør,ASUS Denmark,Hylde B1-20,SKU-0375,Pakke,684,10,Aktiv
Vare-0376,313,3015,150,4.9,Tools,Logitech Nordic,Hylde B1-71,SKU-0376,Æske,47,1,Aktiv
Vare-0377,4601,13099,103,5.1,Tools,CableWorld ApS,Tilbehør Zone 47,SKU-0377,Rulle,690,10,Fase Ud
Vare-0378,1772,1665,470,5.7,Belysning,CableWorld ApS,IT-Lager Zone 22,SKU-0378,Pakke,266,4,Aktiv
Vare-0379,1238,11942,451,5.8,Ergonomi,OfficeSupply A/S,Hylde B2-68,SKU-0379,Stk,186,13,Aktiv
Vare-0380,1854,4317,320,5.7,Tilbehør,HP Inc Danmark,Hylde A1-51,SKU-0380,Æske,278,9,Aktiv
Vare-0381,3220,9754,237,5,IT Hardware,Apple Denmark,Hylde B1-44,SKU-0381,Æske,483,6,Aktiv
Vare-0382,3923,6617,194,6.1,Belysning,Samsung Electronics,Hylde B1-53,SKU-0382,Rulle,588,10,Aktiv
Vare-0383,3426,152,369,4,Kabler,ASUS Denmark,IT-Lager Zone 52,SKU-0383,Sæt,514,2,Aktiv
Vare-0384,1788,16,347,4.7,Tools,Apple Denmark,Lager Zone 36,SKU-0384,Pakke,268,12,Fase Ud
Vare-0385,364,832,456,5,Tools,Apple Denmark,Hylde A2-60,SKU-0385,Pakke,55,13,Aktiv
Vare-0386,4682,4817,116,4.6,Kontorartikler,ASUS Denmark,Lager Zone 31,SKU-0386,Æske,702,10,Aktiv
Vare-0387,4120,1956,358,5.7,Belysning,HP Inc Danmark,Lager Zone 28,SKU-0387,Æske,618,6,Aktiv
Vare-0388,3136,802,87,5.8,Tilbehør,Dell Danmark A/S,IT-Lager Zone 49,SKU-0388,Sæt,470,6,Fase Ud
Vare-0389,4971,11373,251,4.1,Ergonomi,Samsung Electronics,Tilbehør Zone 41,SKU-0389,Rulle,746,11,Fase Ud
Vare-0390,2105,9465,237,3.8,Kontorartikler,Dell Danmark A/S,Hylde A1-80,SKU-0390,Æske,316,5,Aktiv
Vare-0391,3463,4994,300,5.8,Tilbehør,Lenovo Denmark,Hylde A2-77,SKU-0391,Stk,519,7,Aktiv
Vare-0392,4029,1558,397,5.7,Kontorartikler,Lenovo Denmark,Warehouse-72,SKU-0392,Kasse,604,3,Fase Ud
Vare-0393,2968,11652,496,3.5,Møbel,Lenovo Denmark,Warehouse-10,SKU-0393,Æske,445,7,Aktiv
Vare-0394,1593,5984,307,4.8,Møbel,Lenovo Denmark,Tilbehør Zone 11,SKU-0394,Rulle,239,3,Fase Ud
Vare-0395,3458,2487,401,5.6,Kabler,Logitech Nordic,Warehouse-22,SKU-0395,Kasse,519,12,Aktiv
Vare-0396,486,5994,178,3.9,Tools,Dell Danmark A/S,Hylde B1-38,SKU-0396,Stk,73,9,Fase Ud
Vare-0397,2065,12259,371,4.2,Warehouse,Dell Danmark A/S,Hylde B2-17,SKU-0397,Æske,310,1,Aktiv
Vare-0398,4275,4505,119,4.4,Tools,Samsung Electronics,Warehouse-37,SKU-0398,Æske,641,13,Aktiv
Vare-0399,4716,3777,443,5.5,Tilbehør,ASUS Denmark,IT-Lager Zone 14,SKU-0399,Pakke,707,8,Fase Ud
Vare-0400,2105,11747,208,5.5,Warehouse,OfficeSupply A/S,Hylde B2-26,SKU-0400,Pakke,316,1,Aktiv
Vare-0401,2439,5158,471,5.6,Ergonomi,HP Inc Danmark,Hylde B2-12,SKU-0401,Stk,366,6,Aktiv
Vare-0402,1905,6744,418,4.9,IT Hardware,OfficeSupply A/S,Hylde A2-35,SKU-0402,Kasse,286,9,Aktiv
Vare-0403,2726,9153,118,5.7,Tools,Dell Danmark A/S,Hylde A1-87,SKU-0403,Rulle,409,7,Aktiv
Vare-0404,3267,9617,360,4.4,Tools,ErgoShop ApS,IT-Lager Zone 62,SKU-0404,Rulle,490,9,Aktiv
Vare-0405,1895,3286,320,4.2,Warehouse,Lenovo Denmark,Lager Zone 49,SKU-0405,Stk,284,9,Aktiv
Vare-0406,3651,2206,107,3.9,Tilbehør,Apple Denmark,Tilbehør Zone 33,SKU-0406,Pakke,548,7,Aktiv
Vare-0407,1562,713,416,4.7,Belysning,Samsung Electronics,Hylde B1-65,SKU-0407,Kasse,234,11,Aktiv
Vare-0408,2883,2445,307,5.3,Kabler,ASUS Denmark,Lager Zone 38,SKU-0408,Pakke,432,10,Aktiv
Vare-0409,473,10955,200,6.1,Møbel,Apple Denmark,Warehouse-9,SKU-0409,Stk,71,1,Aktiv
Vare-0410,3193,8818,97,4.4,Electronics,HP Inc Danmark,Warehouse-30,SKU-0410,Rulle,479,1,Aktiv
Vare-0411,943,1389,150,4.9,Belysning,CableWorld ApS,Hylde B2-24,SKU-0411,Rulle,141,12,Aktiv
Vare-0412,3648,12978,184,4.4,Ergonomi,OfficeSupply A/S,Hylde A1-20,SKU-0412,Stk,547,12,Aktiv
Vare-0413,3737,1678,288,3.7,Tools,Dell Danmark A/S,Hylde B1-26,SKU-0413,Pakke,561,1,Aktiv
Vare-0414,389,8733,278,3.8,Kontorartikler,OfficeSupply A/S,Hylde A1-24,SKU-0414,Kasse,58,6,Aktiv
Vare-0415,1042,5998,177,4.7,IT Hardware,Dell Danmark A/S,Hylde B2-42,SKU-0415,Æske,156,1,Aktiv
Vare-0416,614,1147,256,5.9,Belysning,OfficeSupply A/S,Hylde B2-43,SKU-0416,Kasse,92,7,Fase Ud
Vare-0417,246,8923,470,5.5,Møbel,Logitech Nordic,IT-Lager Zone 41,SKU-0417,Æske,37,4,Aktiv
Vare-0418,3160,11294,179,6,Belysning,Apple Denmark,Lager Zone 61,SKU-0418,Stk,474,8,Aktiv
Vare-0419,4407,11788,137,4.9,Ergonomi,Lenovo Denmark,Lager Zone 68,SKU-0419,Æske,661,2,Fase Ud
Vare-0420,4568,1106,342,5.5,Ergonomi,ASUS Denmark,Tilbehør Zone 64,SKU-0420,Æske,685,1,Aktiv
Vare-0421,4554,7730,164,5.9,Tilbehør,HP Inc Danmark,Hylde A1-93,SKU-0421,Stk,683,9,Aktiv
Vare-0422,1853,6804,296,5.7,Kabler,Samsung Electronics,Hylde B1-66,SKU-0422,Kasse,278,4,Aktiv
